id,averageRating,category,name,phenotype,reviewCount,slug,strainTopTerp,subtitle,thc,topEffect,distanceMi,cannabinoids_cbc_order,cannabinoids_cbc_percentile50,cannabinoids_cbd_order,cannabinoids_cbd_percentile25,cannabinoids_cbd_percentile50,cannabinoids_cbd_percentile75,cannabinoids_cbg_order,cannabinoids_cbg_percentile50,cannabinoids_thc_order,cannabinoids_thc_percentile25,cannabinoids_thc_percentile50,cannabinoids_thc_percentile75,cannabinoids_thcv_order,cannabinoids_thcv_percentile50,effects_aroused_score,effects_creative_score,effects_energetic_score,effects_euphoric_score,effects_focused_score,effects_giggly_score,effects_happy_score,effects_hungry_score,effects_relaxed_score,effects_sleepy_score,effects_talkative_score,effects_tingly_score,effects_uplifted_score,terps_caryophyllene_score,terps_humulene_score,terps_limonene_score,terps_linalool_score,terps_myrcene_score,terps_ocimene_score,terps_pinene_score,terps_terpinolene_score
177263,4.507125890736342,Indica,Zkittlez,Indica,842,zkittlez,caryophyllene,"aka Skittles, Skittlz, Island Zkittlez",20.0,Relaxed,2.824786586622612,4,0.0,3,0.0,0.0,0.0,2,1.0,1,16.0,20.0,23.0,5,0.0,0.156275512040217,-0.437138885541306,-0.504277577306824,-0.0777172528906607,-0.104254437646131,0.12174577296411,0.131638184074248,0.509385232391183,0.92598751399652,0.591152154936207,-0.211016806788362,0.0297066122106752,-0.25365574975661,0.88035577257753,0.370561826809859,0.356391696953846,0.411920660498279,0.0599246528692149,0.0075925925925925,0.0987113485390764,0.0237035703440089
23,4.268793546021269,Hybrid,OG Kush,Hybrid,5454,og-kush,myrcene,aka Premium OG Kush,18.0,Hungry,2.31325498592357,3,0.0,2,0.0,0.0,0.0,4,0.0,1,16.0,18.0,21.0,5,0.0,0.0745905735730285,-0.105059586990394,-0.18643844743184,0.277884081919977,-0.23812802229231,0.275682848204243,0.248996621847193,0.715484696674539,-0.22894924962324,0.454189794615294,0.112993810194424,-0.0507732685623437,-0.124977497529255,0.343638660480655,0.107369536519225,0.387470611323164,0.138587926402713,0.49714806185178,0.0092862541030567,0.153458892052201,0.0131038789230488
504773,4.706231454005935,Hybrid,Mac 1,Hybrid,337,mac-1,limonene,aka The MAC,22.0,Uplifted,2.44737687592422,4,0.0,3,0.0,0.0,0.0,2,1.0,1,19.0,22.0,24.0,5,0.0,-0.158121729348852,0.150449383850781,0.455035507598193,0.693184333345419,0.349573138310667,0.224282624902277,0.402788524220141,-0.0828345000462782,-0.171806981560364,-0.393141706969278,0.331029431910221,-0.0738095942034026,0.776529827283065,0.298543961538462,0.0962690384615384,0.653655269230769,0.229774653846154,0.134452423076923,0.0342626923076923,0.358938576923077,0.0329376923076923
261615,4.55510752688172,Indica,Purple Punch,Indica,1488,purple-punch,caryophyllene,,18.0,Sleepy,2.44737687592422,3,0.0,2,0.0,0.0,0.0,4,0.0,1,16.0,18.0,21.0,5,0.0,0.067339130483707,-0.726402376069001,-0.922652125619342,-0.0088782692212829,-0.661979340735367,0.0651792001805097,-0.0301615180524444,0.50873078050008,1.14532740848144,1.44639200507542,-0.411553708589122,0.0302796683567981,-0.670481379427924,0.45728097328925,0.139108624626949,0.355442771714481,0.122064825663938,0.15616047438457,0.0632042974023462,0.163172339161958,0.0199670491803279
31,4.364542246211335,Sativa,Jack Herer,Sativa,4817,jack-herer,terpinolene,"aka JH, The Jack, Premium Jack, Platinum Jack",18.0,Energetic,2.490775796818254,4,0.0,3,0.0,0.0,0.0,2,1.0,1,16.0,18.0,21.0,5,0.0,-0.0285436654475125,0.979482683247808,1.54001074167733,0.136178953186199,0.771105212647696,-0.045883693735783,0.361334423663759,-0.284732719627177,-1.43121721445993,-0.83567370603993,0.677646887978517,-0.370819748722641,0.796884641690524,0.301001994317844,0.111056287074638,0.0833110888968514,0.0221725516005323,0.1410859680692,0.110752085222052,0.146085166509794,0.736931170228346
501055,4.483315392895586,Hybrid,Mimosa,Hybrid,929,mimosa,myrcene,aka Purple Mimosa,20.0,Energetic,2.398254296027199,4,0.0,3,0.0,0.0,0.0,2,1.0,1,17.0,20.0,22.0,5,0.0,0.200694418116659,0.0086063932091347,1.36485531117634,-0.284304507125831,1.05592472686192,0.327382298202436,0.667080084940401,-0.310870532383094,-0.645274704013355,-0.69163037613492,0.816562190370967,-0.131246821151766,1.03960218729751,0.201317855448561,0.0579116584590332,0.177910240925651,0.0365093887908566,0.657084878902353,0.048732642612299,0.395713032863666,0.0194471666666667
11,4.404802100919152,Indica,Granddaddy Purple,Indica,5331,granddaddy-purple,myrcene,"aka Grand Daddy Purp, Granddaddy Purple Kush, Granddaddy Purps, GDP",17.0,Sleepy,2.798580593065285,3,0.0,2,0.0,0.0,0.0,4,0.0,1,15.0,17.0,20.0,5,0.0,-0.0187921485089323,-0.655486141516806,-0.865631195172673,-0.008493039173667,-0.802854994959847,0.0240668142179858,-0.274202856694686,0.871419776284815,0.339725736924122,1.80513589247522,-0.510940195154499,0.005055701075715,-0.788272290003389,0.280812409838435,0.0753349965899728,0.0761609719530712,0.0787023577909339,0.651980219250481,0.0538545366028974,0.300579216032006,0.0286111490936461
72946,4.56,Hybrid,Sherbert,Hybrid,1550,sunset-sherbert,caryophyllene,"aka Sherbet, Sunset Sherbet, Sunset Sherbert",18.0,Relaxed,2.274059975920627,4,0.0,3,0.0,0.0,0.0,2,1.0,1,16.0,18.0,21.0,5,0.0,0.19382651552599,0.023740985114568,-0.233838160676959,0.300971443853153,-0.309861674287335,0.316321932925443,0.409446838575434,0.201395240294643,0.560727292761337,-0.0628764454691728,-0.121810225813055,0.247868328991823,0.237765992906982,0.54913204274022,0.196277972324465,0.338746344872571,0.145132356303095,0.206353340788023,0.0174275590551181,0.109248600382053,0.0157122402894904
210,4.394923114474006,Hybrid,Pineapple Express,Hybrid,4097,pineapple-express,myrcene,,20.0,Energetic,32.30137225626469,4,0.0,3,0.0,0.0,0.0,2,1.0,1,17.0,20.0,22.0,5,0.0,0.155399138965114,0.558018164223704,1.12665128868617,0.151287249148059,0.0524543354986221,0.671312879323878,0.741290348965947,0.0242264907638679,-0.86675567426227,-0.754172848562144,0.712904442360258,-0.121215643756886,0.665970420238178,0.266824714503434,0.115500818098461,0.234069135275589,0.0657575562735729,0.446652766856166,0.011331370749787,0.240724942189847,0.0145632197025763
502546,4.683107274969174,Hybrid,GMO Cookies,Hybrid,811,gmo-cookies,caryophyllene,"aka Garlic Cookies, GMO Garlic Cookies",28.0,Relaxed,2.490775796818254,4,0.0,3,0.0,0.0,0.0,2,1.0,1,25.0,28.0,30.0,5,0.0,-0.185278379233983,-0.373037297613504,-0.802540773938084,0.52048222652643,-0.537206440436806,0.0179021175135603,0.055277957267137,0.179456377465328,1.02468684688068,0.597318151294165,-0.386628035060845,0.243405153780234,-0.268380875461389,0.59129544,0.22063552,0.555562453333333,0.0886175466666667,0.382020053333333,0.0057333333333333,0.13941616,0.0214122133333333
52,4.434622987856538,Sativa,Durban Poison,Sativa,3541,durban-poison,terpinolene,,20.0,Energetic,2.393359207896912,4,0.0,3,0.0,0.0,0.0,2,1.0,1,17.0,20.0,22.0,5,0.0,0.127229901726317,0.964551261987445,2.13098942806788,0.146386559683829,1.22486124495049,-0.178250702366259,0.10376753056529,-0.561155097896303,-1.61939137212417,-1.00996527013883,0.659238172680644,-0.344664109309034,1.07132775632998,0.115169329151646,0.038646305694679,0.177489070718165,0.0235317644188453,0.367465322896556,0.32868891454704,0.274077646533812,1.35572961378757
504842,4.646511627906976,Hybrid,Kush Mints,Hybrid,215,kush-mints,limonene,,27.0,Relaxed,2.274059975920627,4,0.0,3,0.0,0.0,0.0,2,1.0,1,27.0,27.0,29.0,5,0.0,0.29829320979511,-0.302419147600897,-0.657755437330184,0.517151629760062,-0.245745961758515,-0.0234161765430377,0.525717325680424,0.57880019692069,0.805231555934406,0.412098571683595,0.0365801294755042,0.0244652945438272,-0.0633657216209102,0.431753333333333,0.13338,0.593766666666667,0.27874,0.200253333333333,0.004,0.173552,0.0335546666666667
504521,4.56140350877193,Hybrid,White Runtz,Hybrid,228,white-runtz,limonene,,17.0,Tingly,2.798580593065285,3,0.0,2,0.0,0.0,0.0,4,0.0,1,16.0,17.0,20.0,5,0.0,-0.210786525391076,-0.519737535493102,-0.489913041793398,0.523836797200486,-0.151878962017631,-0.0363937021132013,0.34512164074871,0.188304283745847,0.810815172681715,0.123305995264633,-0.154068311979053,1.17923505527874,0.0439807982142604,0.324,0.0828,0.3416,0.22,0.13,0.028,0.1334,0.022
32,4.30078067462071,Sativa,Green Crack,Sativa,6789,green-crack,myrcene,"aka Green Crush, Mango Crack",17.0,Energetic,2.31325498592357,4,0.0,3,0.0,0.0,0.0,2,1.0,1,16.0,17.0,19.0,5,0.0,0.13173849099672,0.697663821006856,2.1698779729582,-0.108966113389597,0.966727924395015,0.152407491341741,0.151080318133343,-0.23292420522255,-1.7141262325815,-0.88836602283285,0.93565820776097,-0.272190554211482,0.724904098220448,0.287876105428568,0.117461431582968,0.160316371194051,0.0779829429889797,0.467830139891713,0.110743209402628,0.202785272686702,0.0189688248945825
25,4.422132331696042,Indica,Northern Lights,Indica,3461,northern-lights,myrcene,aka NL,18.0,Sleepy,2.490775796818254,4,0.0,3,0.0,0.0,0.0,2,1.0,1,15.0,18.0,21.0,5,0.0,-0.172862000187796,-0.480287040836599,-0.780240480753797,0.205318577512578,-0.731053686616421,0.056614669938668,-0.0042796378677125,0.446782075442836,0.415474572219916,1.31658840258599,-0.411226312766327,-0.0305172041354036,-0.500185854933905,0.327828398286489,0.11628682297026,0.186565442078312,0.0702769599017269,0.607267442304986,0.016717372907137,0.106444438670584,0.0088197222222222
504513,4.585284280936455,Hybrid,Peanut Butter Breath,Hybrid,299,peanut-butter-breath,limonene,"aka Peanut Butter, Peanut Breath",21.0,Relaxed,2.798580593065285,4,0.0,3,0.0,0.0,0.0,2,1.0,1,18.0,21.0,23.0,5,0.0,0.343236307783714,-0.536645357511121,-0.652151286997642,-0.322803839465228,-0.30333243847092,0.0407694987100749,-0.311213718206499,0.402152920444091,0.853426455657124,0.595807316458611,-0.0708169264408366,-0.116754515468524,-0.403864506349556,0.463222771434835,0.169861600613788,0.590115271431299,0.184511229159153,0.141408262401267,0.0195263157894737,0.184236830225503,0.0250421052631579
504511,4.559808612440191,Hybrid,Gushers,Hybrid,209,gushers,limonene,aka White Gushers,24.0,Tingly,2.398254296027199,4,0.0,3,0.0,0.0,0.0,2,1.0,1,22.0,24.0,25.0,5,0.0,-0.115469306524801,-0.224495664093658,-0.567864315810871,0.233819342172452,-0.379695182990572,0.221914276713682,-0.0991670079350982,0.0240825091941039,0.282402926888842,-0.130005282815713,-0.0532381508136908,0.476081126818001,-0.0800616538530441,0.615076923076923,0.161538461538462,0.657615384615385,0.214,0.161615384615385,0.0294615384615385,0.217384615384615,0.0188461538461538
503770,4.602272727272728,Hybrid,Sundae Driver,Hybrid,440,sundae-driver,limonene,aka Sunday Driver,21.0,Giggly,2.274059975920627,4,0.0,3,0.0,0.0,0.0,2,1.0,1,18.0,21.0,24.0,5,0.0,0.0892183118577109,-0.0132321348492907,-0.386347271324319,-0.226321086751172,-0.159496339609803,0.68497558766288,0.606262603394086,0.0064164303213109,0.590968695174781,-0.18640362854268,0.11830462520125,-0.232212192729372,0.356376694546717,0.522741333333334,0.147070933333333,0.575641333333333,0.216450266666667,0.135670533333333,0.0535833333333333,0.204983733333333,0.0277333333333333
504198,4.565217391304348,Indica,Slurricane,Indica,345,slurricane,caryophyllene,,20.0,Sleepy,2.398254296027199,4,0.0,3,0.0,0.0,0.0,2,1.0,1,17.0,20.0,24.0,5,0.0,-0.0373724025984175,-0.894001029356588,-0.958999578383002,-0.201109668722243,-0.83388903616583,-0.30146412404267,0.118146841678124,0.393916271778153,1.33188084369888,1.36694394247601,-0.528296703182251,0.0113511789740589,-0.550583046883983,0.470702541505771,0.139933753313802,0.399487129273989,0.135832838796306,0.159859226209935,0.0394472639480137,0.156784624954709,0.0236118001213224
